,uuid,name,sire,dam,sex,alive,plumage,acquired_on,age,coef_inbreeding,p_kinship,p_k_mean
59,66eebe,cobalt_123,cobalt_32,ruby_203,M,0,gray,2023-02-12,NA,-0.0,,0.01748827272727273
60,abad48,cobalt_126,cobalt_206,purple_179,M,1,gray,2023-02-21,797.0,0.0,,0.01748827272727273
61,08408e,cobalt_132,cobalt_6,cobalt_9,F,0,fawn,2023-03-20,NA,0.018555,0.036001,0.01748827272727273
62,6a3b1f,cobalt_137,cobalt_35,cobalt_10,M,1,gray,2023-03-21,769.0,0.009277,0.018001,0.01748827272727273
63,d1ed28,cobalt_146,cobalt_87,cobalt_15,F,1,white,2023-03-14,776.0,0.0,,0.01748827272727273
64,52e921,cobalt_155,ruby_202,cobalt_73,M,1,gray,2023-04-07,752.0,-0.0,0.0,0.01748827272727273
65,4d3aa3,cobalt_156,purple_89,cobalt_8,F,0,pied,2023-03-17,NA,-0.0,0.0,0.01748827272727273
66,d02d83,cobalt_163,cobalt_80,purple_190,F,0,gray,2023-04-12,NA,0.000244,0.000485,0.01748827272727273
67,d52e8e,cobalt_165,cobalt_80,purple_190,M,1,gray,2023-04-12,747.0,0.000244,0.000485,0.01748827272727273
68,f30e1b,cobalt_175,cobalt_52,cobalt_59,F,0,fawn,2023-04-26,NA,0.007812,0.015625,0.01748827272727273
69,d640fd,cobalt_180,cobalt_32,ruby_203,F,1,silver,2023-04-20,739.0,-0.0,,0.01748827272727273
70,65001f,cobalt_182,cobalt_32,ruby_203,M,1,gray,2023-04-22,737.0,-0.0,,0.01748827272727273
71,986382,cobalt_197,cobalt_32,ruby_203,F,1,silver,2023-07-24,644.0,-0.0,,0.01748827272727273
72,aa2edd,cobalt_200,cobalt_80,purple_190,M,0,gray,2023-07-07,NA,0.000244,0.000485,0.01748827272727273
73,525cf2,cobalt_201,purple_102,purple_118,F,0,gray,2022-06-18,NA,-0.0,,0.01748827272727273
74,98cf2c,cobalt_205,purple_113,cobalt_22,F,0,gray,2022-05-26,NA,0.015625,0.030773,0.01748827272727273
75,fdbe9a,cobalt_206,cobalt_51,cobalt_15,M,0,gray,2022-06-12,NA,-0.0,0.0,0.01748827272727273
76,debe05,cobalt_208,purple_126,purple_122,M,1,gray,2022-06-19,1044.0,-0.0,,0.01748827272727273
77,f8ec9c,cobalt_218,cobalt_57,purple_174,F,0,gray,2022-07-08,NA,0.007812,,0.01748827272727273
78,9f6c8e,cobalt_234,purple_58,cobalt_1,F,0,gray,2022-07-05,NA,-0.0,,0.01748827272727273
79,8189b4,cobalt_237,purple_58,cobalt_1,F,0,gray,2022-07-04,NA,-0.0,,0.01748827272727273
80,31886d,cobalt_240,green_79,purple_82,M,1,gray,2022-07-14,1019.0,-0.0,,0.01748827272727273
81,3c4dc6,cobalt_242,green_79,purple_82,M,0,gray,2022-07-13,NA,-0.0,,0.01748827272727273
82,63f960,cobalt_245,cobalt_32,ruby_203,F,0,fawn,2022-07-29,NA,-0.0,,0.01748827272727273
83,9976ef,cobalt_247,purple_117,cobalt_54,M,0,fawn,2022-07-17,NA,0.015625,0.03125,0.01748827272727273
84,624f1b,cobalt_249,purple_117,cobalt_54,M,0,gray,2022-07-17,NA,0.015625,0.03125,0.01748827272727273
85,b91400,cobalt_302,cobalt_126,ruby_236,M,1,gray,2024-01-13,471.0,0.017578,,0.01748827272727273
86,9d44ec,cobalt_306,cobalt_155,cobalt_205,F,1,pied,2024-02-22,431.0,0.033386,0.066257,0.01748827272727273
87,b31842,cobalt_309,cobalt_247,purple_142,M,1,fawn,2024-02-04,449.0,0.023926,0.047436,0.01748827272727273
88,b197b2,cobalt_310,cobalt_247,purple_142,F,1,fawn,2024-02-05,448.0,0.023926,0.047436,0.01748827272727273
89,aa9442,cobalt_312,cobalt_137,cobalt_245,M,1,gray,2024-02-11,442.0,0.021851,,0.01748827272727273
90,a23a09,cobalt_314,cobalt_98,cobalt_7,M,1,gray,2024-02-05,448.0,-0.0,0.0,0.01748827272727273
91,cd02e2,cobalt_315,cobalt_98,cobalt_7,F,1,silver,2024-02-05,448.0,-0.0,0.0,0.01748827272727273
92,e16655,cobalt_316,cobalt_98,cobalt_7,F,1,gray,2024-02-01,452.0,-0.0,0.0,0.01748827272727273
93,ada093,cobalt_318,cobalt_200,cobalt_180,M,0,gray,2024-02-17,NA,0.013794,,0.01748827272727273
94,e50826,cobalt_323,cobalt_122,cobalt_110,M,1,gray,2024-02-15,438.0,0.015625,0.031129,0.01748827272727273
95,aff49c,cobalt_324,cobalt_122,cobalt_110,F,1,gray,2024-02-16,437.0,0.015625,0.031129,0.01748827272727273
96,7bfea2,cobalt_326,cobalt_122,cobalt_110,M,1,gray,2024-02-19,434.0,0.015625,0.031129,0.01748827272727273
97,7cce9e,cobalt_328,ruby_202,cobalt_73,M,1,gray,2024-03-01,423.0,-0.0,0.0,0.01748827272727273
98,49977a,cobalt_333,purple_166,ruby_207,M,0,gray,2024-02-26,NA,0.006226,0.012355,0.01748827272727273
99,d36abd,cobalt_344,cobalt_247,purple_142,F,1,silver,2024-04-16,377.0,0.023926,0.047436,0.01748827272727273
100,8d7505,cobalt_349,cobalt_16,cobalt_79,M,1,silver,2024-03-19,405.0,0.016113,0.032227,0.01748827272727273
101,cea1fd,cobalt_356,cobalt_155,cobalt_205,M,1,pied,2024-05-10,353.0,0.033386,0.066257,0.01748827272727273
102,56585f,cobalt_361,cobalt_123,cobalt_1990,F,1,pied,2024-04-24,369.0,0.025391,0.050486,0.01748827272727273
